type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,70,2000,5038354422.788606,82.05487255143021,47.61904761904762
DDR4-1.3333333,70,10000,1798582308.8455772,77.08140205234635,43.80952380952381
DDR4-1.3333333,80,0,109672750824.5877,200.812925170068,173.8095238095238
DDR4-1.3333333,80,5,108201403298.35085,164.8794361117941,140.95238095238093
DDR4-1.3333333,80,10,103843310344.82759,143.3359828141783,118.57142857142857
DDR4-1.3333333,80,15,93155521439.28036,119.51473922902494,87.61904761904762
DDR4-1.3333333,80,20,86636349025.48724,113.15190869736324,80.47619047619047
DDR4-1.3333333,80,25,80940704047.97601,107.10719600340136,72.85714285714285
DDR4-1.3333333,80,30,78626082158.92053,105.58419026525338,69.52380952380952
DDR4-1.3333333,80,35,76309915442.27887,104.81104133961277,70.95238095238095
DDR4-1.3333333,80,40,71694440779.61018,101.06586041824136,69.52380952380952
DDR4-1.3333333,80,45,62169436881.55922,96.24197566350483,61.904761904761905
DDR4-1.3333333,80,50,60480402998.500755,96.18788924020312,64.28571428571428
DDR4-1.3333333,80,55,58877409295.35233,95.6513010798725,61.904761904761905
DDR4-1.3333333,80,60,57645375712.14393,95.20831549402978,60.476190476190474
DDR4-1.3333333,80,65,55964267466.26687,94.73776455026454,61.904761904761905
DDR4-1.3333333,80,70,54294779010.49475,94.08820079756039,62.857142857142854
DDR4-1.3333333,80,80,51281357721.13943,92.41965434822578,59.047619047619044
DDR4-1.3333333,80,90,47571555022.488754,92.68878707945764,59.52380952380952
DDR4-1.3333333,80,100,39030874962.51874,89.98979591836735,56.666666666666664
DDR4-1.3333333,80,120,34441863868.06596,89.60141424991048,56.666666666666664
DDR4-1.3333333,80,140,32158071364.31784,89.08883553421367,56.666666666666664
DDR4-1.3333333,80,160,29970326836.581707,88.22918586789554,55.714285714285715
DDR4-1.3333333,80,180,28157505247.376312,88.2774193548387,55.238095238095234
DDR4-1.3333333,80,200,26777168215.892056,87.61433804290947,55.238095238095234
DDR4-1.3333333,80,220,25479445877.061474,87.86811498793065,54.76190476190476
DDR4-1.3333333,80,260,23149375712.14393,87.32291121576836,54.76190476190476
DDR4-1.3333333,80,300,21209475262.368816,86.97590883487153,53.33333333333333
DDR4-1.3333333,80,340,19561345727.136433,86.46973219667613,52.857142857142854
DDR4-1.3333333,80,380,18331662968.515743,86.4838973564109,52.857142857142854
DDR4-1.3333333,80,450,16136798800.599699,85.77084670346126,52.857142857142854
DDR4-1.3333333,80,550,14099507046.476763,85.39400510204082,50.476190476190474
DDR4-1.3333333,80,600,13061181409.295353,85.49179421768707,51.904761904761905
DDR4-1.3333333,80,700,11697837481.25937,84.89487472007436,50.95238095238095
DDR4-1.3333333,80,800,10340941529.235382,84.65656821734905,50.0
DDR4-1.3333333,80,900,9639388305.847078,84.12773998488284,50.95238095238095
DDR4-1.3333333,80,1000,8806256071.964018,84.07718148987989,50.95238095238095
DDR4-1.3333333,80,2000,5103640179.910046,81.84911809034992,48.095238095238095
DDR4-1.3333333,80,10000,1798447976.0119941,76.99946193166532,42.857142857142854
DDR4-1.3333333,90,0,111086805397.30135,192.45587812589824,185.23809523809524
DDR4-1.3333333,90,5,109494625487.25638,156.49761513800922,124.76190476190476
DDR4-1.3333333,90,10,106243502248.87556,138.3392427678142,110.0
DDR4-1.3333333,90,15,97382169715.14243,117.63024865118462,88.09523809523809
DDR4-1.3333333,90,20,90561151424.28786,110.08859995611148,77.14285714285714
DDR4-1.3333333,90,25,83296700449.77512,104.38245832684218,71.42857142857143
DDR4-1.3333333,90,30,80407940029.98502,102.8422075597156,69.52380952380952
DDR4-1.3333333,90,35,77857026686.65666,101.92679459843639,68.57142857142857
DDR4-1.3333333,90,40,73872110344.82759,99.82586027111574,67.61904761904762
DDR4-1.3333333,90,45,66387487856.07197,96.5596082404593,63.33333333333333
DDR4-1.3333333,90,50,64483655772.113945,95.51519908662765,62.38095238095238
DDR4-1.3333333,90,55,62639265967.0165,95.52713952713952,62.38095238095238
DDR4-1.3333333,90,60,61222860569.71515,94.80371315192744,63.33333333333333
DDR4-1.3333333,90,65,59547394302.84858,94.57015306122449,63.33333333333333
DDR4-1.3333333,90,70,57929489655.17241,93.92385643912738,60.95238095238095
DDR4-1.3333333,90,80,54761988605.69715,93.32438728916223,60.476190476190474
DDR4-1.3333333,90,90,51326359220.3898,92.2039897039897,58.57142857142857
